customer_id,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies
4412-YLTKF,Yes,Yes,Yes,No,No,Yes,No,No,No
0390-DCFDQ,Yes,No,Yes,No,No,No,No,No,No
4385-GZQXV,Yes,No,Yes,No,No,No,Yes,Yes,Yes
7534-BFESC,Yes,Yes,Yes,No,No,No,No,No,No
0623-IIHUG,No,No,Yes,Yes,No,No,No,Yes,No
0257-ZESQC,Yes,No,Yes,Yes,No,No,No,No,No
4554-YGZIH,Yes,Yes,Yes,No,Yes,No,No,No,Yes
0727-BMPLR,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
7074-IEVOJ,Yes,Yes,Yes,No,Yes,No,No,No,No
7028-DVOIQ,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
4208-UFFGW,Yes,No,Yes,No,No,No,No,No,No
6646-QVXLR,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
1989-PRJHP,Yes,Yes,Yes,No,No,No,No,No,No
4184-TJFAN,Yes,No,Yes,Yes,No,No,Yes,Yes,No
1768-ZAIFU,No,No,Yes,No,No,No,No,No,No
9809-IMGCQ,Yes,Yes,Yes,No,No,No,No,Yes,Yes
2761-OCIAX,Yes,No,Yes,No,Yes,No,No,No,No
5047-LHVLY,Yes,No,Yes,No,No,Yes,No,No,No
9606-PBKBQ,Yes,Yes,Yes,No,No,No,No,No,Yes
4193-ORFCL,Yes,No,Yes,No,No,No,No,No,No
4514-GFCFI,Yes,Yes,Yes,No,No,No,No,Yes,No
6179-GJPSO,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
8051-HJRLT,Yes,No,Yes,No,No,No,No,No,No
4021-RQSNY,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
5931-FLJJF,Yes,No,Yes,No,No,No,No,No,No
7216-EWTRS,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
2774-LVQUS,Yes,Yes,Yes,No,No,Yes,Yes,No,No
4094-NSEDU,Yes,Yes,Yes,No,No,No,No,Yes,Yes
9898-KZQDZ,Yes,Yes,Yes,No,No,No,No,Yes,Yes
2205-YMZZJ,Yes,Yes,Yes,No,No,No,No,Yes,No
9221-OTIVJ,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
8922-LIEGH,Yes,Yes,Yes,No,Yes,No,No,No,Yes
0022-TCJCI,Yes,No,Yes,Yes,No,Yes,No,No,Yes
3269-ATYWD,Yes,Yes,Yes,No,No,No,No,Yes,Yes
3336-JORSO,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
2408-WITXK,No,No,Yes,No,No,No,No,No,Yes
7503-QQRVF,Yes,No,Yes,No,Yes,No,No,No,No
0709-TVGUR,Yes,Yes,Yes,No,No,No,No,No,No
7409-KIUTL,Yes,No,Yes,No,No,No,No,No,No
0679-IDSTG,Yes,No,Yes,No,No,No,No,No,No
8802-UNOJF,Yes,No,Yes,No,Yes,Yes,Yes,No,No
6313-GIDIT,No,No,Yes,No,Yes,Yes,No,Yes,Yes
8679-JOEVF,Yes,No,Yes,No,No,No,Yes,Yes,No
8058-JMEQO,Yes,Yes,Yes,No,No,No,No,No,Yes
7657-DYEPJ,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
8276-MQBYC,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
6015-VVHHE,Yes,Yes,Yes,No,No,No,No,Yes,No
6900-PXRMS,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
3346-BRMIS,No,No,Yes,No,No,Yes,No,Yes,Yes
2722-JMONI,Yes,No,Yes,Yes,No,No,No,No,No
1771-OADNZ,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
4818-QIUFN,Yes,Yes,Yes,Yes,No,No,No,No,No
6961-VCPMC,Yes,No,Yes,No,No,No,No,No,Yes
4201-JMNGR,Yes,No,Yes,Yes,No,Yes,No,No,No
1866-RZZQS,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
8631-NBHFZ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
5655-JSMZM,Yes,Yes,Yes,No,No,No,No,Yes,Yes
5276-KQWHG,Yes,No,Yes,No,No,No,No,No,No
9667-EQRXU,No,No,Yes,No,No,Yes,No,Yes,No
0946-CLJTI,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
9189-JWSHV,Yes,Yes,Yes,No,No,No,No,Yes,Yes
0576-WNXXC,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
0495-ZBNGW,Yes,Yes,Yes,No,No,Yes,No,No,No
9360-AHGNL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
2091-RFFBA,Yes,Yes,Yes,No,No,No,No,No,No
0023-HGHWL,No,No,Yes,No,No,No,No,No,No
6161-UUUTA,Yes,No,Yes,No,No,No,No,Yes,No
2479-BRAMR,Yes,Yes,Yes,Yes,No,Yes,No,No,No
6987-XQSJT,Yes,Yes,Yes,No,Yes,No,No,No,No
0722-TROQR,Yes,Yes,Yes,No,No,No,No,No,No
6402-ZFPPI,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2956-GGUCQ,Yes,Yes,Yes,Yes,No,No,No,No,No
1112-CUNAO,Yes,Yes,Yes,No,Yes,No,No,No,Yes
3389-YGYAI,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
2055-PDADH,Yes,No,Yes,No,No,No,No,No,No
3217-FZDMN,Yes,No,Yes,No,No,Yes,No,Yes,Yes
7124-UGSUR,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
8020-BWHYL,Yes,No,Yes,No,Yes,No,No,No,No
8988-ECPJR,Yes,Yes,Yes,No,Yes,No,No,No,No
5569-OUICF,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
5747-PMBSQ,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
6168-WFVVF,Yes,No,Yes,No,No,No,No,No,No
7450-NWRTR,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
5959-BELXA,Yes,Yes,Yes,No,No,No,No,Yes,Yes
2506-TNFCO,Yes,No,Yes,No,No,No,No,No,No
6060-DRTNL,Yes,No,Yes,No,No,Yes,No,Yes,No
1976-CFOCS,Yes,No,Yes,No,No,No,No,No,No
5287-QWLKY,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
1891-UAWWU,Yes,Yes,Yes,No,No,Yes,No,Yes,No
3500-RMZLT,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
1363-TXLSL,Yes,No,Yes,No,No,No,No,No,No
6927-WTFIV,Yes,No,Yes,No,No,No,No,No,No
4844-JJWUY,Yes,No,Yes,No,Yes,No,No,No,Yes
7248-VZQLC,Yes,Yes,Yes,No,Yes,Yes,No,No,No
0011-IGKFF,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
9090-SGQXL,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
9190-MFJLN,Yes,No,Yes,No,No,Yes,No,Yes,Yes
3296-SILRA,Yes,No,Yes,No,Yes,No,No,No,No
5180-UCIIQ,No,No,Yes,Yes,No,No,No,No,Yes
4342-HENTK,Yes,No,Yes,No,No,No,No,No,No
1597-LHYNC,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
2720-WGKHP,Yes,Yes,Yes,No,No,No,No,Yes,Yes
2474-BRUCM,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
0616-ATFGB,No,No,Yes,No,No,No,No,No,No
9317-WZPGV,Yes,No,Yes,No,No,No,No,No,Yes
9248-OJYKK,Yes,Yes,Yes,No,No,No,No,No,No
3398-FSHON,Yes,Yes,Yes,No,Yes,No,No,Yes,No
0818-OCPZO,Yes,Yes,Yes,No,Yes,No,No,No,No
7359-SSBJK,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
7957-RYHQD,Yes,No,Yes,Yes,Yes,No,No,No,No
5389-FFVKB,Yes,No,Yes,No,No,No,No,No,Yes
1273-MTETI,Yes,Yes,Yes,No,No,Yes,No,No,Yes
5480-HPRRX,No,No,Yes,No,No,No,No,No,No
8685-WHQPW,Yes,Yes,Yes,No,No,No,No,No,No
